File ID,English_name,Vocalization_type,Quality,Time,Date,X,Y
406171,Rose-crested Blue Pipit,Call,A,Morning,2017-06-07T00:00:00Z,125,133
405901,Rose-crested Blue Pipit,Call,A,Afternoon,2018-02-08T00:00:00Z,58,76
405548,Rose-crested Blue Pipit,Song,A,Morning,2018-03-10T00:00:00Z,55,125
401782,Rose-crested Blue Pipit,Song,A,Morning,2008-06-29T00:00:00Z,129,123
401720,Rose-crested Blue Pipit,Call,A,Afternoon,2016-12-28T00:00:00Z,132,121
401719,Rose-crested Blue Pipit,Call,A,Afternoon,2016-12-28T00:00:00Z,106,107
387404,Rose-crested Blue Pipit,Call,A,Morning,2017-09-18T00:00:00Z,149,115
377874,Rose-crested Blue Pipit,Song,A,Morning,2000-06-11T00:00:00Z,134,118
368493,Rose-crested Blue Pipit,Call,A,Afternoon,2017-03-13T00:00:00Z,89,131
368492,Rose-crested Blue Pipit,Call,A,Afternoon,2017-03-13T00:00:00Z,141,124
364567,Rose-crested Blue Pipit,Song,A,Morning,2017-04-14T00:00:00Z,124,121
351273,Rose-crested Blue Pipit,Call,A,Afternoon,2017-01-17T00:00:00Z,146,114
299736,Rose-crested Blue Pipit,Call,A,Morning,2015-05-31T00:00:00Z,131,133
298739,Rose-crested Blue Pipit,Call,A,Afternoon,2016-01-09T00:00:00Z,124,116
293916,Rose-crested Blue Pipit,Call,A,Morning,2015-06-05T00:00:00Z,147,117
293914,Rose-crested Blue Pipit,Song,A,Morning,2015-06-05T00:00:00Z,142,114
277989,Rose-crested Blue Pipit,Song,A,Evening,2015-05-26T00:00:00Z,159,117
277952,Rose-crested Blue Pipit,Song,A,Afternoon,2015-05-26T00:00:00Z,128,116
233383,Rose-crested Blue Pipit,Call,A,Morning,2015-03-15T00:00:00Z,142,114
225347,Rose-crested Blue Pipit,Call,A,Morning,2015-03-15T00:00:00Z,163,117
181907,Rose-crested Blue Pipit,Call,A,Evening,2014-03-13T00:00:00Z,123,110
176636,Rose-crested Blue Pipit,Song,A,Morning,2013-06-06T00:00:00Z,121,132
164501,Rose-crested Blue Pipit,Song,A,Evening,1993-05-03T00:00:00Z,131,120
164204,Rose-crested Blue Pipit,Song,A,Morning,2012-04-30T00:00:00Z,151,154
163385,Rose-crested Blue Pipit,Call,A,Afternoon,2014-01-05T00:00:00Z,152,154
162569,Rose-crested Blue Pipit,Call,A,Morning,2013-05-26T00:00:00Z,75,142
162567,Rose-crested Blue Pipit,Call,A,Evening,2013-05-25T00:00:00Z,34,134
162566,Rose-crested Blue Pipit,Call,A,Night,2013-05-25T00:00:00Z,142,121
162564,Rose-crested Blue Pipit,Song,A,Night,2013-05-25T00:00:00Z,35,145
162563,Rose-crested Blue Pipit,Song,A,Night,2013-05-25T00:00:00Z,116,108
152971,Rose-crested Blue Pipit,Song,A,Morning,2008-06-28T00:00:00Z,78,82
139528,Rose-crested Blue Pipit,Song,A,Morning,2009-05-30T00:00:00Z,134,144
134557,Rose-crested Blue Pipit,Song,A,Morning,2000-05-08T00:00:00Z,39,61
120731,Rose-crested Blue Pipit,Call,A,Morning,2005-07-21T00:00:00Z,127,117
118322,Rose-crested Blue Pipit,Call,A,Afternoon,2013-01-15T00:00:00Z,140,149
118321,Rose-crested Blue Pipit,Call,A,Afternoon,2013-01-15T00:00:00Z,152,154
118320,Rose-crested Blue Pipit,Call,A,Afternoon,2013-01-15T00:00:00Z,127,113
111775,Rose-crested Blue Pipit,Call,A,Afternoon,2012-10-22T00:00:00Z,129,112
110765,Rose-crested Blue Pipit,Song,A,Morning,2012-05-29T00:00:00Z,146,111
106772,Rose-crested Blue Pipit,Call,A,Morning,2012-06-29T00:00:00Z,149,151
105151,Rose-crested Blue Pipit,Song,A,Morning,2012-06-16T00:00:00Z,127,118
89862,Rose-crested Blue Pipit,Song,A,Morning,1996-04-28T00:00:00Z,147,154
70544,Rose-crested Blue Pipit,Call,A,Morning,2010-02-28T00:00:00Z,149,154
70543,Rose-crested Blue Pipit,Call,A,Morning,2010-02-28T00:00:00Z,150,160
41283,Rose-crested Blue Pipit,Call,A,Morning,2009-10-12T00:00:00Z,137,99
35964,Rose-crested Blue Pipit,Call,A,Afternoon,2008-09-30T00:00:00Z,142,164
30397,Rose-crested Blue Pipit,Song,A,Morning,2009-02-22T00:00:00Z,125,121
14877,Rose-crested Blue Pipit,Song,A,Morning,2007-07-01T00:00:00Z,127,167
12122,Rose-crested Blue Pipit,Song,A,Morning,2007-04-07T00:00:00Z,166,153
387405,Rose-crested Blue Pipit,Call,B,Morning,2017-09-18T00:00:00Z,125,104
387403,Rose-crested Blue Pipit,Call,B,Morning,2017-09-18T00:00:00Z,130,107
383446,Rose-crested Blue Pipit,Call,B,Morning,2017-08-18T00:00:00Z,130,108
